active_period,mint_count,burn_count,swap_count,mint_mean_period,burn_mean_period,swap_mean_period,token_burn_ratio,swapIn,swapOut,lp_avg,lp_std,creator_holding_ratio,lp_lock_ratio,is_MEV,is_rugpull
25188,1,1,31,0,25188,779,0.0,27,4,4.761904761904762,69.59105850473554,72.38,0.0,True,True
204,1,1,23,0,204,52,0.0,21,2,5.0,60.07443549464281,56.32,0.0,True,True
15828,1,1,94,0,15828,123,0.0,88,6,1.162790697674419,38.30375581196092,7.12,0.0,True,True
185700,1,0,972,0,0,5602,0.0,539,433,1.0,60.03357144131942,0.0,0.0,True,False
226284,1,0,581,0,0,19135,0.0,254,327,1.818181818181818,55.39350757821878,5.0,0.0,True,False
1956,1,0,57,0,0,663,0.0,46,11,50.0,70.69653598303101,99.99,0.0,True,True
3372,1,0,3,0,0,1156,0.0,1,2,100.0,0.0,0.0,0.0,True,False
216,1,1,18,0,216,62,0.0,16,2,9.090909090909092,63.83157846310013,68.03,0.0,True,True
251736,1,0,60,0,0,5822,0.0,51,9,100.0,0.0,0.0,0.0,True,True
38736,1,0,58,0,0,1902,0.0,39,19,100.0,0.0,100.0,0.0,True,True
72,1,1,3,0,48,32,0.0,2,1,25.0,51.64639774466366,62.36,0.0,True,True
240468,1,0,544,0,0,7851,0.0,290,254,2.127659574468085,64.79356060400356,7.73,0.0,True,False
13236,1,1,50,0,13236,125,0.0,48,2,3.571428571428572,68.46104596254513,68.1,0.0,True,True
29796,1,1,33,0,29796,1128,0.0,26,7,5.555555555555555,67.34215759009277,70.63,0.0,True,True
2484,1,0,56,0,0,717,0.0,45,11,33.333333333333336,25.752690474330382,0.0,0.0,True,True
540,1,0,6,0,0,358,0.0,4,2,25.0,81.36407438175648,2.54,0.0,True,False
21192,1,1,32,0,21192,1587,0.0,29,3,4.0,73.78771713503542,76.1,0.0,True,True
12000,1,0,43,0,0,1312,0.0,28,15,100.0,0.0,0.0,0.0,True,True
83412,1,0,569,0,0,5913,0.0,298,271,2.0,69.90106079309527,0.0,0.0,True,False
1524,1,1,14,0,1524,1290,0.0,12,2,9.090909090909092,82.70567821553071,87.89,0.0,True,True
372,1,1,32,0,372,145,0.0,29,3,5.882352941176471,63.184043546005576,14.54,0.0,True,True
83208,1,0,221,0,0,7594,0.0,168,53,2.9411764705882355,98.0521249132318,0.0,0.0,True,True
44268,1,0,48,0,0,1722,0.0,36,12,50.0,43.92547324730833,0.0,0.0,True,True
34524,1,0,38,0,0,1489,0.0,27,11,100.0,0.0,100.0,0.0,True,True
1020,1,1,5,0,1020,76,0.0,3,2,33.333333333333336,43.35616757356059,37.59,0.0,True,True
8748,1,0,143,0,0,480,0.0,79,64,2.4390243902439024,34.219028617308744,0.0,0.0,True,True
